current_cash,monthly_revenue,monthly_expenses,debt_obligations,burn_rate,proposed_purchase_amount,purchase_category,predicted_cash_3m,predicted_runway_months,cash_shortage_probability,financial_risk_level
41218854.52,12968822.57,7262596.43,144739.02,-5561487.11,6919.77,Office Supplies,58538861.98,5.56,0.0273,MEDIUM
17529465.67,12014603.99,6760774.72,139766.42,-5114062.85,75209.17,Infrastructure,32057166.72,2.53,0.0325,HIGH
78230735.81,11126358.87,7100577.97,450300.69,-3575480.22,383021.57,Hardware,87990051.81,10.31,0.0211,LOW
52631088.22,5918491.16,3764903.18,30246.53,-2123341.45,66423.86,Marketing,59288856.32,13.85,0.0302,LOW
138299188.76,16239001.33,13671496.91,790121.41,-1777383.01,57824.1,Marketing,143397065.01,9.56,0.0314,LOW
52684438.54,17766309.08,12341437.86,61786.91,-5363084.31,12939.12,Office Supplies,68218577.9,4.25,0.004,MEDIUM
17035105.52,5039422.28,2975277.8,160174.12,-1903970.37,40904.28,Services,22573843.38,5.42,0.0335,MEDIUM
25859028.24,14185496.11,11680607.96,450374.1,-2054514.05,742670.46,Infrastructure,30947958.66,2.07,0.1259,HIGH
167022787.33,19795705.34,15955336.6,677621.1,-3162747.64,126088.31,Hardware,175674614.49,10.03,0.0158,LOW
61805541.38,5720947.08,3629329.57,250682.64,-1840934.87,50399.04,Services,67277267.65,15.92,0.0442,LOW
26701452.04,13035611.47,7914553.73,485569.35,-4635488.4,299604.53,Infrastructure,40496519.42,3.14,0.0449,MEDIUM
94921153.44,8288309.85,5285689.78,211155.59,-2791464.48,381554.35,Hardware,103397835.38,17.2,0.0076,LOW
33150062.97,3619649.03,2976048.24,69636.13,-573964.67,996315.31,Infrastructure,33883662.73,10.56,0.0486,LOW
127039489.82,17285204.19,9586243.03,589175.15,-7109786.02,763333.91,Infrastructure,148522160.11,12.41,0.017,LOW
4027048.38,6223252.51,3816491.14,224688.06,-2182073.31,14642.67,Office Supplies,10559239.53,0.99,0.0857,CRITICAL
99811823.28,18296242.87,16433821.25,584518.76,-1277902.86,238965.55,Infrastructure,103329225.9,5.85,0.0081,MEDIUM
291519212.99,19093245.08,17546188.78,571789.79,-975266.51,29348.84,Marketing,294616536.72,16.09,0.0439,LOW
22330087.54,16717477.82,11250957.03,733905.3,-4732615.49,56541.92,Hardware,36439567.25,1.86,0.0638,HIGH
41785358.26,15331742.22,13129088.64,364345.35,-1838308.23,206870.61,Infrastructure,47117831.36,3.08,0.1713,MEDIUM
246217179.53,19305076.67,17790890.65,665897.38,-848288.64,16962.38,Office Supplies,248946697.27,13.34,0.0325,LOW
20928064.42,9042951.64,6845788.72,101596.36,-2095566.56,13996.51,Services,27255005.74,3.01,0.1677,MEDIUM
1067238.95,640221.36,533391.71,2157.56,-104672.1,431923.17,Hardware,927770.81,1.19,0.3214,HIGH
27978199.01,13545066.68,8610527.41,633580.14,-4300959.13,597401.07,Infrastructure,39753103.32,2.96,0.0236,HIGH
60514126.17,8437669.25,4959074.04,149472.28,-3329122.93,244171.84,Marketing,70623381.52,11.8,0.0337,LOW
91038956.91,19691221.62,11605359.14,334064.14,-7751798.34,135598.32,Hardware,113006063.34,7.61,0.0224,LOW
30283964.13,8726691.98,5771991.66,402852.72,-2551847.59,407850.68,Marketing,37967675.41,4.84,0.0049,MEDIUM
12667943.68,13216825.43,10127196.55,61631.89,-3027996.99,54061.78,Software,21677003.13,1.24,0.0927,HIGH
